PO_ID,Supplier,Order_Date,Delivery_Date,Item_Category,Order_Status,Quantity,Unit_Price,Negotiated_Price,Defective_Units,Compliance,flag_invalid_date_order,flag_delivered_no_date,flag_nondelivered_has_date,Lead_Time_Days,Order_Value,Savings_Amount,Savings_Rate_%,Defect_Rate_%,Category_Lead_Time_Benchmark,Is_On_Time
PO-00001,Alpha_Inc,2023-10-17,2023-10-25,Office Supplies,Cancelled,1176,20.13,17.81,,Yes,False,False,True,8.0,20944.559999999998,2728.32,11.53,,10.0,1.0
PO-00002,Delta_Logistics,2022-04-25,2022-05-05,Office Supplies,Delivered,1509,39.32,37.34,235.0,Yes,False,False,False,10.0,56346.060000000005,2987.819999999995,5.04,15.57,10.0,1.0
PO-00003,Gamma_Co,2022-01-26,2022-02-15,MRO,Delivered,910,95.51,92.26,41.0,Yes,False,False,False,20.0,83956.6,2957.5,3.4,4.51,12.0,0.0
PO-00004,Beta_Supplies,2022-10-09,2022-10-28,Packaging,Delivered,1344,99.85,95.52,112.0,Yes,False,False,False,19.0,128378.87999999999,5819.519999999998,4.34,8.33,11.0,0.0
PO-00005,Delta_Logistics,2022-09-08,2022-09-20,Raw Materials,Delivered,1180,64.07,60.53,171.0,No,False,False,False,12.0,71425.4,4177.199999999991,5.53,14.49,10.0,0.0
PO-00006,Epsilon_Group,2022-08-17,2022-08-29,MRO,Delivered,1145,69.21,63.57,39.0,Yes,False,False,False,12.0,72787.65,6457.799999999993,8.15,3.41,12.0,1.0
PO-00007,Gamma_Co,2022-05-23,2022-06-03,MRO,Delivered,1774,51.37,47.82,96.0,No,False,False,False,11.0,84832.68000000001,6297.699999999995,6.91,5.41,12.0,1.0
PO-00008,Alpha_Inc,2022-04-15,2022-04-29,MRO,Delivered,1094,36.93,32.78,22.0,Yes,False,False,False,14.0,35861.32,4540.0999999999985,11.24,2.01,12.0,0.0
PO-00009,Gamma_Co,2023-11-24,2023-11-28,Raw Materials,Partially Delivered,1688,43.93,39.89,89.0,Yes,False,False,True,4.0,67334.32,6819.519999999999,9.2,5.27,10.0,1.0
PO-00010,Gamma_Co,2023-07-13,2023-07-25,Raw Materials,Pending,171,76.87,70.2,8.0,Yes,False,False,True,12.0,12004.2,1140.5700000000004,8.68,4.68,10.0,0.0
PO-00011,Epsilon_Group,2022-03-31,2022-04-15,Raw Materials,Delivered,5000,78.49,73.68,18.0,Yes,False,False,False,15.0,368400.00000000006,24049.99999999994,6.13,0.36,10.0,0.0
PO-00012,Beta_Supplies,2023-08-28,2023-09-11,Raw Materials,Delivered,5000,88.96,86.58,115.0,Yes,False,False,False,14.0,432900.0,11899.999999999978,2.68,2.3,10.0,0.0
PO-00013,Beta_Supplies,2023-03-09,2023-03-26,Electronics,Pending,5000,86.74,74.86,51.0,Yes,False,False,True,17.0,374300.0,59399.99999999998,13.7,1.02,11.0,0.0
PO-00014,Beta_Supplies,2022-02-02,,MRO,Delivered,5000,18.3,16.88,,Yes,False,True,False,,84400.0,7100.000000000008,7.76,,12.0,
